1,2,3
219,183;457,144;362,56
223,183;464,154;370,69
227,181;464,192;374,75
227,181;465,209;377,79
232,179;468,225;381,82
234,178;469,230;386,82
236,178;471,233;390,81
236,178;472,235;390,81
236,179;474,235;394,80
235,182;475,234;396,80
233,183;475,234;396,80
230,184;477,231;396,81
224,184;479,230;396,82
217,184;478,228;394,87
211,186;478,228;392,89
211,186;478,229;388,90
202,187;476,232;382,91
193,190;474,235;375,92
184,193;471,238;368,93
177,196;466,241;368,93
170,200;461,243;359,94
161,208;455,245;351,97
159,212;455,245;343,100
158,216;447,248;335,103
158,219;439,250;327,107
158,223;431,253;318,115
161,226;424,257;316,118
161,226;417,261;315,121
163,228;408,269;315,125
167,230;406,272;316,128
172,231;405,275;319,132
177,233;405,278;319,132
183,234;406,281;323,135
193,234;408,284;328,138
197,233;408,284;334,140
200,233;411,288;340,142
204,231;415,291;346,144
208,229;419,294;357,145
210,228;423,297;362,144
210,228;428,299;365,143
213,227;438,301;368,141
216,225;442,300;370,139
219,225;446,298;373,138
220,225;449,295;373,138
221,226;452,294;377,137
221,231;455,291;380,136
219,234;455,291;383,136
218,237;458,290;385,137
215,240;460,290;387,138
213,243;462,290;387,142
210,245;464,291;386,145
210,245;465,292;384,148
206,245;466,297;383,150
203,245;466,300;381,151
198,243;465,303;379,152
194,241;463,306;379,152
190,238;462,308;376,152
183,231;460,310;371,152
180,227;460,310;367,150
176,223;458,310;363,146
173,218;455,310;359,143
172,214;452,309;351,134
170,209;449,307;347,130
170,209;446,304;343,125
169,204;439,295;340,120
168,198;437,290;337,115
169,193;434,285;335,110
169,188;432,280;335,110
170,183;430,275;333,105
171,174;428,269;332,100
171,171;428,269;331,95
170,168;426,263;331,90
169,165;425,258;331,86
167,163;424,252;331,77
166,162;424,246;330,75
166,162;425,240;329,72
164,161;425,231;327,70
161,160;424,227;324,68
160,159;423,223;322,67
157,158;421,221;322,67
154,157;419,218;320,65
149,154;417,215;317,63
147,153;417,215;313,62
144,151;416,212;310,61
141,149;413,211;306,60
138,148;410,209;299,56
136,147;407,206;296,55
136,147;403,204;292,53
133,146;397,199;289,52
132,146;393,196;285,51
130,147;389,194;282,51
130,150;385,191;282,51
130,155;382,190;281,50
132,166;379,189;279,50
133,172;379,189;278,51
135,178;376,188;279,52
136,184;373,188;279,56
137,189;372,190;281,70
137,194;372,193;282,78
137,194;372,198;283,85
139,198;375,210;285,91
141,202;377,216;287,95
142,204;378,223;289,98
145,208;379,229;289,98
147,209;380,236;290,102
155,209;381,242;292,106
159,209;381,242;294,109
164,209;382,247;297,112
169,209;383,252;300,112
174,209;385,255;308,114
179,210;387,257;313,114
179,210;390,259;318,114
183,212;397,260;323,114
187,214;401,260;328,115
191,216;405,260;333,116
194,218;409,260;333,116
198,221;414,260;338,118
206,224;418,261;343,120
211,225;418,261;347,122
215,226;422,262;351,124
219,226;427,265;355,127
223,225;430,267;365,130
227,224;434,270;370,131
227,224;438,272;373,132
230,222;446,276;378,133
234,220;449,277;382,133
237,217;453,278;386,133
241,214;456,279;386,133
243,210;460,280;390,131
245,200;463,280;394,129
246,193;463,280;398,127
246,185;467,280;401,124
245,177;471,278;402,121
243,167;474,276;405,113
241,157;477,274;406,107
241,157;479,271;407,100
239,149;483,264;406,93
235,140;483,259;405,86
231,132;483,253;403,78
227,125;483,247;403,78
222,120;481,240;401,71
208,112;480,234;398,64
200,109;480,234;395,58
190,108;478,227;391,51
180,109;475,221;386,46
170,112;473,214;305,45
160,116;469,208;299,53
160,116;465,201;294,61
151,123;455,191;292,71
143,133;448,187;293,93
137,144;439,184;296,105
133,154;431,182;301,119
131,166;422,182;319,145
130,192;404,189;330,156
132,205;398,195;330,156
135,218;392,203;344,162
139,232;388,213;359,163
146,244;387,223;375,161
154,253;388,245;393,154
154,253;391,259;407,143
165,258;400,289;300,35
177,259;407,304;295,140
193,255;415,315;295,140
208,245;415,315;310,148
222,232;424,323;345,149
242,199;436,327;359,143
245,180;447,326;371,43
243,161;461,322;368,45
236,143;474,312;366,48
226,127;407,180;365,50
214,114;389,213;364,54
214,114;384,271;364,59
198,104;391,288;364,59
182,102;400,301;362,74
166,103;400,301;364,74
148,109;412,310;365,75
132,125;426,314;369,78
101,209;434,315;371,76
101,228;442,312;372,77
107,250;452,303;372,79
116,264;503,205;371,84
116,264;506,197;370,87
128,271;506,197;370,87
143,273;508,191;372,86
158,267;509,187;373,83
169,258;509,186;375,80
182,240;506,184;376,78
202,202;470,163;377,78
209,184;460,160;377,76
214,168;457,162;378,72
218,155;456,163;380,68
221,145;456,164;382,64
224,138;458,164;384,58
224,138;463,166;386,51
226,133;464,168;386,51
228,130;465,170;388,46
228,130;464,174;389,40
227,129;464,178;391,34
224,129;464,180;392,29
217,129;464,180;391,27
214,127;467,178;
214,124;471,174;
216,121;474,171;
218,120;476,168;
221,120;477,166;
221,120;477,165;
223,119;477,161;
226,119;479,156;
228,119;483,149;
230,120;486,143;
231,121;489,137;
232,122;489,137;
231,123;491,132;
231,123;493,126;
233,122;493,122;
235,123;493,118;
236,125;493,116;
236,125;495,113;
237,127;497,112;
239,128;500,109;
240,130;503,107;
243,132;506,107;
245,133;509,106;
249,136;509,106;
251,138;512,105;
253,140;515,103;
253,143;518,103;
253,148;518,103;
254,152;518,105;
254,152;514,110;
258,156;512,113;
262,158;511,115;
266,160;511,116;
267,161;512,117;
268,161;513,117;
269,160;513,117;
270,157;514,116;
272,153;514,115;
276,149;513,112;
280,144;513,111;
283,139;512,110;
283,139;512,111;
286,133;512,112;
287,127;513,113;
287,120;513,114;
287,114;513,115;
285,109;513,116;
285,102;513,116;
286,99;512,117;
288,99;512,119;
290,100;511,119;
292,101;510,120;
294,105;509,121;
294,105;507,123;
296,109;505,124;
300,110;503,126;
302,111;501,125;
301,110;499,124;
299,109;497,122;
292,104;;
289,102;;
287,101;;
287,100;;
288,100;;
290,100;;
290,100;;
292,101;;
292,100;;
292,99;;
290,97;;
289,96;;
287,98;;
286,101;;
287,104;;
287,107;;
287,110;;
287,113;;
287,113;;
286,115;;
286,117;;
286,119;;
285,120;;
285,121;;
283,121;;
282,122;;
281,122;;
279,121;;
277,118;;
275,117;;
